ZCTA5 12150,72707,12529
ZCTA5 12151,86614,19457
ZCTA5 12153,83790,20340
ZCTA5 12154,86967,10247
ZCTA5 12155,51970,5427
ZCTA5 12156,81450,20542
ZCTA5 12157,76945,11050
ZCTA5 12158,87848,6063
ZCTA5 12159,137066,18301
ZCTA5 12160,70547,13673
ZCTA5 12161,71785,51625
ZCTA5 12164,68084,17301
ZCTA5 12165,103553,32301
ZCTA5 12166,59725,6565
ZCTA5 12167,58283,4323
ZCTA5 12168,69999,12040
ZCTA5 12169,64599,20202
ZCTA5 12170,74077,6629
ZCTA5 12172,43673,10257
ZCTA5 12173,76668,8491
ZCTA5 12174,83306,32422
ZCTA5 12175,58206,8902
ZCTA5 12176,71689,17582
ZCTA5 12177,91647,23311
ZCTA5 12180,63878,2212
ZCTA5 12182,56759,3417
ZCTA5 12183,60575,7662
ZCTA5 12184,101947,20038
ZCTA5 12185,84112,10849
ZCTA5 12186,101210,5712
ZCTA5 12187,63917,11073
ZCTA5 12188,82665,6614
ZCTA5 12189,61202,3289
ZCTA5 12190,54782,9910
ZCTA5 12192,81072,22891
ZCTA5 12193,87940,17520
ZCTA5 12194,54263,17879
ZCTA5 12195,51786,16302
ZCTA5 12196,105176,10359
ZCTA5 12197,65127,7163
ZCTA5 12198,93097,8235
ZCTA5 12202,38945,4462
ZCTA5 12203,67981,3236
ZCTA5 12204,70348,11648
ZCTA5 12205,75307,4718
ZCTA5 12206,42427,4701
ZCTA5 12207,19227,5600
ZCTA5 12208,70284,3736
ZCTA5 12209,68578,6447
ZCTA5 12210,54780,6092
ZCTA5 12211,118435,10644
ZCTA5 12222,-,**
ZCTA5 12302,77305,2443
ZCTA5 12303,79498,4599
ZCTA5 12304,56687,3284
ZCTA5 12305,41780,5122
ZCTA5 12306,70595,2508
ZCTA5 12307,29789,3452
ZCTA5 12308,55765,3248
ZCTA5 12309,107829,4965
ZCTA5 12401,61041,2345
ZCTA5 12404,131343,33685
ZCTA5 12405,51033,14241
ZCTA5 12406,76414,50033
ZCTA5 12407,78749,29797
ZCTA5 12409,91007,23442
ZCTA5 12410,72865,16176
ZCTA5 12411,64560,12542
ZCTA5 12412,70611,33747
ZCTA5 12413,53021,10690
ZCTA5 12414,62808,6961
ZCTA5 12416,27641,17492
ZCTA5 12417,65271,17469
ZCTA5 12418,78366,23621
ZCTA5 12419,60771,19883
